web-scraper-order,web-scraper-start-url,product-link,product-link-href,ad-id,Images,title,location,map-link,map-link-href,type,bedrooms,bathrooms,price,utilities,wifi,parking,agreement-type,move-in-date,pet-friendly,size,furnished,appliances,air-conditioning,person-outdoor-space,smoking,Posted-by,Posted-on,hydro,Heat,water,amenities
1655181713-4024,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,:: SWAP/EXCHANGE ONLY :: 3 1/2 Petit-Laurier,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/::-swap-exchange-only-::-3-1-2-petit-laurier/1619509990,Ad ID 1619509990,5,:: SWAP/EXCHANGE ONLY :: 3 1/2 Petit-Laurier,"Montréal, QC H2J",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/::-swap-exchange-only-::-3-1-2-petit-laurier/1619509990#map,Apartment,Bedrooms: 1 + Den,Bathrooms: 1,$910 ,Not Included,Not Included,0,1 Year,01-Jul-22,null,600,No,AppliancesLaundry (In Unit),No,Personal Outdoor SpaceYardBalcony,No,Kijiji User,12 days ago,Laundry (In Unit),Balcony,null,AmenitiesBicycle ParkingStorage Space
1655183983-4807,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Appartement 3 chambres à louer pour le 1er juillet,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-3-chambres-a-louer-pour-le-1er-juillet/1620219996,Ad ID 1620219996,4,Appartement 3 chambres à louer pour le 1er juillet,"7703 Rue Mcvey, Montréal, QC H1L 6M2, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-3-chambres-a-louer-pour-le-1er-juillet/1620219996#map,Apartment,Bedrooms: 3,Bathrooms: 1,"$1,380 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,900,No,AppliancesLaundry (In Unit)Dishwasher,Yes,Personal Outdoor SpaceBalcony,No,Kijiji User,7 days ago,Laundry (In Unit),Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655181766-4043,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Pavillon Hutchison: Apartment for rent in Milton Park,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/pavillon-hutchison:-apartment-for-rent-in-milton-park/1604131977,Ad ID 1604131977,null,Pavillon Hutchison: Apartment for rent in Milton Park,"3474 rue Hutchison, Montreal, QC, H2X 2G7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/pavillon-hutchison:-apartment-for-rent-in-milton-park/1604131977#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,609 ",HydroHeatWater,Not Included,0,1 Year,30-Jun-22,null,425,No,AppliancesNot Included,Yes,Personal Outdoor SpaceNot Included,No,Kijiji User,12 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesElevator in Building
1655187366-5947,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"OUTREMONT, condo 5 1/2, ascenseur",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/outremont-condo-5-1-2-ascenseur/1620753074,Ad ID 1620753074,7,"OUTREMONT, condo 5 1/2, ascenseur","Montréal, QC H2V 1K5",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/outremont-condo-5-1-2-ascenseur/1620753074#map,Condo,Bedrooms: 3,Bathrooms: 2,"$2,250 ",HydroHeatWater,Not Included,1,1 Year,01-Aug-22,null,950,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Marie-Josée Bernard,4 days ago,Laundry (In Unit),Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConcierge24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655188378-6264,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Studio sur le Plateau JUILLET & AOÛT,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-sur-le-plateau-juillet-aout/1620881001,Ad ID 1620881001,3,Studio sur le Plateau JUILLET & AOÛT,"Montréal, QC H2H 2A9",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-sur-le-plateau-juillet-aout/1620881001#map,Apartment,Bedrooms: Bachelor/Studio,Bathrooms: 1,$950 ,HydroHeatWater,Internet,0,Month-to-month,03-Jul-22,null,300,Yes,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,No,Kijiji User,3 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConciergeBicycle Parking
1655192614-7654,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"adj,Westmount,3,bedrooms,2 bathrooms ,june,july",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/adj-westmount-3-bedrooms-2-bathrooms-june-july/1604165163,Ad ID 1604165163,null,"adj,Westmount,3,bedrooms,2 bathrooms ,june,july","4840 Chemin de la Cote Saint Luc, Montreal, QC, H3W 2H1",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/adj-westmount-3-bedrooms-2-bathrooms-june-july/1604165163#map,Apartment,Bedrooms: 3,Bathrooms: 2,"$2,795 ",HydroHeatWater,Not Included,1,1 Year,01-Jul-22,null,"1,400",No,AppliancesLaundry (In Unit)Laundry (In Building)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Le Boulevard,about 9 hours ago,Laundry (In Unit),"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConcierge24 Hour SecurityStorage SpaceElevator in Building
1655192367-7573,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,3 ½ Montréal,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-montreal/1621210473,Ad ID 1621210473,3,3 ½ Montréal,"7096 Avenue Querbes, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-montreal/1621210473#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,100 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,650,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,about 10 hours ago,null,Laundry (In Building),null,AmenitiesNot Included
1655191764-7381,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,One Bedroom For Rent at Square William - 693-715 William Street,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/one-bedroom-for-rent-at-square-william-693-715-william-street/1618527401,Ad ID 1618527401,null,One Bedroom For Rent at Square William - 693-715 William Street,"715 William Street, Montreal, QC, H3C 0T9",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/one-bedroom-for-rent-at-square-william-693-715-william-street/1618527401#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,420 ",Not Included,Not Included,0,1 Year,null,null,533,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceNot Included,No,Square William,about 12 hours ago,Laundry (In Unit),null,Dishwasher,AmenitiesGym
1655186833-5760,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,logement a louer,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/logement-a-louer/1620666559,Ad ID 1620666559,null,logement a louer,"Montréal, QC H1M 2T7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/logement-a-louer/1620666559#map,Apartment,Bedrooms: 2,Bathrooms: 1,Please Contact,Not Included,Not Included,0,1 Year,01-Jul-22,null,"1,050",No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,No,michelle,4 days ago,null,Balcony,null,AmenitiesNot Included
1655183614-4683,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Downtown Montreal - Fully furnished condo, all inclusive",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/downtown-montreal-fully-furnished-condo-all-inclusive/1617973041,Ad ID 1617973041,7,"Downtown Montreal - Fully furnished condo, all inclusive","825 Rene Levesque est, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/downtown-montreal-fully-furnished-condo-all-inclusive/1617973041#map,Condo,Bedrooms: 1 + Den,Bathrooms: 1,"$1,750 ",HydroHeatWater,Cable / TVInternet,0,1 Year,18-Jun-22,null,640,Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceYardBalcony,Outdoors only,Kijiji User,8 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesPoolConcierge24 Hour SecurityBicycle ParkingElevator in Building
1655191579-7320,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,4 1/2  Downtown Montreal + 1 Months FREE  + Skyline View,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-downtown-montreal-1-months-free-skyline-view/1505844389,Ad ID 1505844389,14,4 1/2  Downtown Montreal + 1 Months FREE  + Skyline View,"688 Rue Notre-Dame Ouest, Montreal, QC, H3W 1J4",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-downtown-montreal-1-months-free-skyline-view/1505844389#map,Apartment,Bedrooms: 2,Bathrooms: 1.5,"$1,950 ",HydroHeatWater,Not Included,0,1 Year,null,null,Not Available,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceNot Included,No,SIX88,about 13 hours ago,Laundry (In Unit),null,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymConcierge24 Hour SecurityBicycle ParkingElevator in Building
1655185597-5343,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Large and bright furnished apartment near metro station,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/large-and-bright-furnished-apartment-near-metro-station/1619510851,Ad ID 1619510851,6,Large and bright furnished apartment near metro station,"Montreal, QC H4E 2C3",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/large-and-bright-furnished-apartment-near-metro-station/1619510851#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,350 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,240,Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Marcio,5 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesNot Included
1655181345-3899,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Le Colisée: Apartment for rent in Downtown Montreal,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/le-colisee:-apartment-for-rent-in-downtown-montreal/1505787646,Ad ID 1505787646,5,The Colosseum: Apartment for rent in Downtown Montreal,"235 Sherbrooke Street West, Montreal, QC, H2X 1X7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/le-colisee:-apartment-for-rent-in-downtown-montreal/1505787646#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,689 ",HydroHeatWater,Not Included,0,1 Year,01-Aug-22,Yes,568,No,appliancesNot Included,null,Personal Outdoor SpaceNot Included,null,Kijiji User,13 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Hydro</font></font>","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Heat</font></font>","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Water</font></font>",AmenitiesElevator in Building
1655181945-4106,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Nice downtown Union Park 3 1/2 for rent,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/nice-downtown-union-park-3-1-2-for-rent/1619621122,Ad ID 1619621122,7,Nice downtown Union Park 3 1/2 for rent,"Montréal, QC H3H",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/nice-downtown-union-park-3-1-2-for-rent/1619621122#map,Condo,Bedrooms: 1,Bathrooms: 1,"$1,500 ",HydroHeatWater,Not Included,0,1 Year,06-Jun-22,null,510,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Yang,12 days ago,Laundry (In Unit),Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymPoolConciergeStorage SpaceElevator in Building
1655190392-6932,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Métro Honoré-Beaugrand grand 41/2 chb fermées style condo,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/metro-honore-beaugrand-grand-41-2-chb-fermees-style-condo/1621128578,Ad ID 1621128578,7,Métro Honoré-Beaugrand grand 41/2 chb fermées style condo,"Montréal, QC H1L 3H1",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/metro-honore-beaugrand-grand-41-2-chb-fermees-style-condo/1621128578#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,050 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,750,No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,No,Ernest Maly,about 19 hours ago,null,Balcony,null,AmenitiesNot Included
1655181431-3932,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"3.5 Condo neuf, bien localisé à louer, à côté du métro HB",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-condo-neuf-bien-localise-a-louer-a-cote-du-metro-hb/1619399387,Ad ID 1619399387,3,"3.5 Condo neuf, bien localisé à louer, à côté du métro HB","Rue Basile-Routhier, Montreal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-condo-neuf-bien-localise-a-louer-a-cote-du-metro-hb/1619399387#map,Condo,Bedrooms: 1,Bathrooms: 1,"$1,370 ",Not Included,Not Included,1,1 Year,01-Jun-22,null,552,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceYard,Outdoors only,Tom,13 days ago,Laundry (In Unit),null,Dishwasher,AmenitiesNot Included
1655184985-5136,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"4 ch meublé tt inclus 10-15 min UdeM HEC Poly, 1 er Juil",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-ch-meuble-tt-inclus-10-15-min-udem-hec-poly-1-er-juil/1566486799,Ad ID 1566486799,14,"4 ch meublé tt inclus 10-15 min UdeM HEC Poly, 1 er Juil","5945 Souart, Montréal, QC, H3S 2E9",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-ch-meuble-tt-inclus-10-15-min-udem-hec-poly-1-er-juil/1566486799#map,Apartment,Bedrooms: 4,Bathrooms: 1,"$2,400 ",HydroHeatWater,Cable / TVInternet,0,1 Year,null,null,775,Yes,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,Outdoors only,Souart,6 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655186307-5582,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Gorgeous Two-Floor Apartment Available in NDG, 6 mins to Snowdon",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/gorgeous-two-floor-apartment-available-in-ndg-6-mins-to-snowdon/1620593543,Ad ID 1620593543,7,"Gorgeous Two-Floor Apartment Available in NDG, 6 mins to Snowdon","Montreal, QC H3X 2K9",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/gorgeous-two-floor-apartment-available-in-ndg-6-mins-to-snowdon/1620593543#map,Apartment,Bedrooms: 4 + Den,Bathrooms: 2,"$2,575 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,"1,150",No,AppliancesLaundry (In Unit)Laundry (In Building)DishwasherFridge / Freezer,No,Personal Outdoor SpaceBalcony,No,Cecily,5 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro",Laundry (In Building),Dishwasher,AmenitiesNot Included
1655186241-5560,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,3 1/2 water front LaSalle,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-water-front-lasalle/1620586425,Ad ID 1620586425,7,3 1/2 water front LaSalle,"Lasalle, QC H8R 3S3",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-water-front-lasalle/1620586425#map,Apartment,Bedrooms: 1,Bathrooms: 1,$800 ,HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,1,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceNot Included,Outdoors only,Cat,5 days ago,Laundry (In Unit),null,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655191502-7294,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Plateau, Metro Laurier",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/plateau-metro-laurier/1621178906,Ad ID 1621178906,4,"Plateau, Metro Laurier","5330 Resther Street, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/plateau-metro-laurier/1621178906#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,395 ",HydroHeatWater,Not Included,0,1 Year,23-Jun-22,null,600,Yes,AppliancesLaundry (In Unit)Fridge / Freezer,No,Personal Outdoor SpaceNot Included,No,Alain,about 13 hours ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
